time,sx,sz,ball sx,ball sz,opt ball vz,opt pitch
0.0,2200.0,100.0,-1200.0,200.0,1200.0,1.5707963268
0.29160515912,2120.9506153,122.09861416,-1229.1605159,494.65437121,1010.4566466,2.3693868724
0.58321031824,1977.4320873,151.7155674,-1258.3210318,734.03692268,820.91329314,2.369387138
0.8748154773600001,1769.4444202,188.85086412,-1287.4815477,918.14765442,631.36993971,2.3693870698
1.16642063648,1496.9876141,233.50450454,-1316.6420636,1046.9865664,441.82658628,2.3693870663
1.4580257956,1160.0616699,285.67648933,-1345.8025796,1120.5536587,252.28323285,2.369387056
1.7496309547200002,758.66658833,345.36681944,-1374.9630955,1138.8489312,62.739879414,2.3693870412
2.04123611384,292.80237351,412.57549901,-1404.1236114,1101.872384,-126.80347402,2.3693869769
2.33284127296,-237.53097495,487.30252767,-1433.2841273,1009.624017,-316.34682745,2.3693869828
2.62444643208,-832.3334454,569.54791737,-1462.4446432,862.10383032,-505.89018088,2.3693867974
2.9160515912,-1491.605019,659.31168744,-1491.6051591,659.31182389,-695.43353431,2.3693864977
